Loc ID,Route,BMP,Start,EMP,End,K Factor %,D Factor %,T Factor %,AADT_1-AADT 2023,AADT_2-AADT 2043
100001,I-8,0.779,California State Line - Yuma,1.282,E Giss Pkwy,8,53,17.151932239280043,22668,24111
100002,I-8,1.282,E Giss Pkwy,2.224,US-95,11,56,20.333787465940052,26424,28107
100003,I-8,2.224,US-95,3.976,SR-280,8,55,11.638130495141139,47542,50569
100004,I-8,3.976,SR-280,7.638,Exit 7 Araby Rd,8,58,15.911593670910532,51761,52396
100005,I-8,7.638,Exit 7 Araby Rd,9.66,Exit 9 SB 8 (1) / Avenue 8 1/2 E - East of Yuma,7,58,10.784296174295996,55859,56543
100006,I-8,9.66,Exit 9 SB 8 (1) / Avenue 8 1/2 E - East of Yuma,12.239,S Fortuna Rd SB,7,56,13.084483710657096,45275,45829
100007,I-8,12.239,S Fortuna Rd SB,14.247,S Foothills Blvd,11,52,19.44736289136373,28554,28904
100008,I-8,14.247,S Foothills Blvd,21.031,Exit 21 Dome Valley,12,59,27.605717689100658,20148,20395
100009,I-8,21.031,Exit 21 Dome Valley,30.806,Exit 30 Avenue 29E - Wellton,8,52,18.209636141092687,17974,18195
100010,I-8,30.806,Exit 30 Avenue 29E - Wellton,37.96,S Avenue 36 E,8,67,25.517777620696968,14147,14320
100011,I-8,37.96,S Avenue 36 E,42.058,S Avenue 40 E,6,66,31.32727086952079,9787,9907
100012,I-8,42.058,S Avenue 40 E,54.956,I 8 Exit 54 Access Ramp,7,51,23.22570819372525,13132,13637
100013,I-8,54.956,I 8 Exit 54 Access Ramp,67.436,S Avenue 64 E,6,52,19.020664256973337,14663,15227
100014,I-8,67.436,S Avenue 64 E,73.48,Aztec Rd,6,52,18.58870112423107,14143,14687
100015,I-8,73.48,Aztec Rd,78.461,Spot Rd,7,51,37.10492505353319,11675,12124
100016,I-8,78.461,Spot Rd,87.053,Sentinel Rd,8,53,37.81209781209781,11655,12104
100017,I-8,87.053,Sentinel Rd,102.29,Painted Rock Dam Rd,8,53,37.08062667176156,13085,13589
